feature,avg_score,split_date,start_date
boll_Lower_12_COST,0.3043886563683471,2017-01-01,2014-11-01
macd_AVGO,0.28978197279858686,2017-01-01,2014-11-01
adx_24_XOM,0.2240349096258623,2017-01-01,2014-11-01
boll_Upper_24_LLY,0.22196071031991266,2017-01-01,2014-11-01
boll_Upper_24_NVDA,0.2069097430114936,2017-01-01,2014-11-01
mean_abs_ret_24_ADBE,0.20048665899398613,2017-01-01,2014-11-01
sma_24_JPM,0.16237807074451915,2017-01-01,2014-11-01
adx_12_AMZN,0.15712902933689318,2017-01-01,2014-11-01
macd_MA,0.15067104069441173,2017-01-01,2014-11-01
mean_abs_ret_24_NVDA,0.14623390641132306,2017-01-01,2014-11-01
boll_Upper_8_JPM,0.1431664617678832,2017-01-01,2014-11-01
adx_24_MSFT,0.1303101653521724,2017-01-01,2014-11-01
adx_24_LLY,0.12066119715925794,2017-01-01,2014-11-01
boll_Upper_24_AMZN,0.10538038644297638,2017-01-01,2014-11-01
adx_24_NVDA,0.10527661350530655,2017-01-01,2014-11-01
ema_24_JPM,0.1038135773295889,2017-01-01,2014-11-01
adx_24_ADBE,0.10164373304915432,2017-01-01,2014-11-01
boll_Upper_24_COST,0.09826695639199372,2017-01-01,2014-11-01
mean_abs_ret_24_CAT,0.0939597062700215,2017-01-01,2014-11-01
boll_Lower_24_UNH,0.09002252471398284,2017-01-01,2014-11-01
boll_Lower_24_CAT,0.0888640765397832,2017-01-01,2014-11-01
adx_8_UNH,0.08547369480763076,2017-01-01,2014-11-01
ema_24_MA,0.08401411557934033,2017-01-01,2014-11-01
macd_ADBE,0.0836797676412767,2017-01-01,2014-11-01
boll_Upper_24_XOM,0.08329301502517131,2017-01-01,2014-11-01
boll_Lower_24_XOM,0.37091782484674624,2018-01-01,2015-11-01
macd_AVGO,0.2584669247598495,2018-01-01,2015-11-01
adx_8_UNH,0.22016229960106312,2018-01-01,2015-11-01
boll_Lower_24_COST,0.20146760836990713,2018-01-01,2015-11-01
sma_24_COST,0.181026990595569,2018-01-01,2015-11-01
adx_24_NVDA,0.14641447818885173,2018-01-01,2015-11-01
boll_Upper_24_XOM,0.12903334803060712,2018-01-01,2015-11-01
boll_Upper_24_NVDA,0.11760063690323758,2018-01-01,2015-11-01
boll_Upper_12_CAT,0.11678377162697982,2018-01-01,2015-11-01
mean_abs_ret_24_JPM,0.11619090645676722,2018-01-01,2015-11-01
donchian_24_ADBE,0.11012354350086863,2018-01-01,2015-11-01
adx_24_JPM,0.10286035756586831,2018-01-01,2015-11-01
boll_Lower_24_AMZN,0.10247440748319993,2018-01-01,2015-11-01
macd_ADBE,0.10217010917114625,2018-01-01,2015-11-01
adx_24_MA,0.10208757849117601,2018-01-01,2015-11-01
mean_abs_ret_24_ADBE,0.10080311525211264,2018-01-01,2015-11-01
boll_Upper_24_AMZN,0.09965563575471312,2018-01-01,2015-11-01
boll_Lower_24_NVDA,0.09864993426970008,2018-01-01,2015-11-01
boll_Lower_24_CAT,0.09735173112335087,2018-01-01,2015-11-01
boll_Lower_24_UNH,0.09470519356828713,2018-01-01,2015-11-01
adx_24_COST,0.09337981117817412,2018-01-01,2015-11-01
ema_24_LLY,0.09010069543333825,2018-01-01,2015-11-01
donchian_24_JPM,0.08696464474813574,2018-01-01,2015-11-01
lag_close_24_MA,0.0843577763583748,2018-01-01,2015-11-01
donchian_24_XOM,0.08406885396703702,2018-01-01,2015-11-01
ema_8_AVGO,0.2898666968237025,2019-01-01,2016-11-01
boll_Upper_24_NVDA,0.25803998442457726,2019-01-01,2016-11-01
ema_24_JPM,0.22275800153508335,2019-01-01,2016-11-01
lag_close_24_AMZN,0.20168888758993075,2019-01-01,2016-11-01
boll_Upper_24_LLY,0.18208073734109972,2019-01-01,2016-11-01
price_AVGO,0.17299819408672049,2019-01-01,2016-11-01
ema_24_XOM,0.17086258184978265,2019-01-01,2016-11-01
sma_24_XOM,0.1678249490237117,2019-01-01,2016-11-01
adx_24_COST,0.16214911522717038,2019-01-01,2016-11-01
boll_Upper_24_ADBE,0.16042548127090056,2019-01-01,2016-11-01
adx_24_LLY,0.14574934307679271,2019-01-01,2016-11-01
lag_close_24_ADBE,0.13440891856395576,2019-01-01,2016-11-01
adx_24_UNH,0.1315570028135472,2019-01-01,2016-11-01
donchian_12_COST,0.12601366660847135,2019-01-01,2016-11-01
adx_24_JPM,0.10956683036524015,2019-01-01,2016-11-01
mean_abs_ret_24_CAT,0.10714187101870415,2019-01-01,2016-11-01
donchian_24_MSFT,0.10704496810239411,2019-01-01,2016-11-01
stoch_24_AMZN,0.1042667514500272,2019-01-01,2016-11-01
boll_Lower_24_UNH,0.10404432032533964,2019-01-01,2016-11-01
ema_24_MSFT,0.1034221991599048,2019-01-01,2016-11-01
boll_Upper_8_MA,0.09961541570989904,2019-01-01,2016-11-01
ema_24_CAT,0.09629494604097713,2019-01-01,2016-11-01
boll_Lower_24_XOM,0.09538214846394384,2019-01-01,2016-11-01
lag_close_24_JPM,0.09245983603678079,2019-01-01,2016-11-01
donchian_24_NVDA,0.08320332708747805,2019-01-01,2016-11-01
